,date,period,demand_mw,bid_price,cumulative_bid_volumn
97,2023-01-03,2,5491.015,111.82,5494.400000000001
98,2023-01-03,3,5412.166,112.49,5414.400000000001
99,2023-01-03,4,5341.299,111.82,5392.1
100,2023-01-03,5,5269.676,107.0,5274.1
101,2023-01-03,6,5230.368,104.77,5236.1
102,2023-01-03,7,5191.801,104.87,5209.5
103,2023-01-03,8,5179.669,104.77,5195.1
104,2023-01-03,9,5173.939,104.67,5182.900000000001
105,2023-01-03,10,5192.895,104.77,5205.299999999999
106,2023-01-03,11,5292.98,111.82,5330.300000000001
107,2023-01-03,12,5458.735,119.2,5460.900000000001
108,2023-01-03,13,5649.101,133.35,5658.3
109,2023-01-03,14,5820.173,175.02,5824.999999999998
110,2023-01-03,15,6003.83,193.87,6004.700000000001
111,2023-01-03,16,6238.359,254.61,6242.700000000001
112,2023-01-03,17,6461.467,230.0,6521.000000000001
113,2023-01-03,18,6592.536,279.2,6592.899999999998
114,2023-01-03,19,6667.449,230.0,6671.599999999999
115,2023-01-03,20,6720.026,250.0,6774.2
116,2023-01-03,21,6745.105,250.0,6804.1
117,2023-01-03,22,6745.577,250.0,6826.799999999999
118,2023-01-03,23,6729.469,250.0,6823.099999999999
119,2023-01-03,24,6680.421,230.0,6710.6
120,2023-01-03,25,6636.257,230.0,6699.3
121,2023-01-03,26,6644.994,230.0,6699.300000000001
122,2023-01-03,27,6736.805,250.0,6812.1
123,2023-01-03,28,6747.197,250.0,6821.0
124,2023-01-03,29,6755.796,250.0,6824.4
125,2023-01-03,30,6784.174,250.0,6825.1
126,2023-01-03,31,6821.802,250.0,6822.599999999999
127,2023-01-03,32,6866.726,290.34,6870.8
128,2023-01-03,33,6864.052,280.0,6870.6
129,2023-01-03,34,6893.688,302.5,6894.100000000001
130,2023-01-03,35,6839.595,265.87,6858.5
131,2023-01-03,36,6749.673,250.0,6807.199999999999
132,2023-01-03,37,6697.492,230.0,6705.6
133,2023-01-03,38,6689.864,230.0,6697.899999999999
134,2023-01-03,39,6691.553,230.0,6693.000000000001
135,2023-01-03,40,6668.105,230.0,6681.500000000001
136,2023-01-03,41,6638.18,230.0,6663.8
137,2023-01-03,42,6600.751,230.0,6648.7
138,2023-01-03,43,6509.517,230.0,6586.5
139,2023-01-03,44,6339.553,215.61,6345.5999999999985
140,2023-01-03,45,6181.169,196.61,6182.600000000001
141,2023-01-03,46,6052.372,155.84,6058.599999999999
142,2023-01-03,47,5909.285,122.05,5911.0
143,2023-01-03,48,5722.791,108.41,5725.0
144,2023-01-04,1,5539.338,103.62,5539.6
145,2023-01-04,2,5440.381,96.82,5447.6
146,2023-01-04,3,5490.692,103.83,5493.400000000001
147,2023-01-04,4,5430.302,99.19,5439.6
148,2023-01-04,5,5387.077,106.0,5388.6
149,2023-01-04,6,5329.097,97.56,5333.6
150,2023-01-04,7,5318.477,102.86,5324.000000000001
151,2023-01-04,8,5308.049,100.0,5308.6
152,2023-01-04,9,5294.486,99.19,5295.4000000000015
153,2023-01-04,10,5313.82,102.86,5314.8
154,2023-01-04,11,5395.01,103.0,5399.799999999999
155,2023-01-04,12,5539.815,109.77,5545.000000000001
156,2023-01-04,13,5722.801,124.67,5724.8
157,2023-01-04,14,5904.574,191.0,5921.399999999998
158,2023-01-04,15,6095.914,226.0,6106.500000000001
159,2023-01-04,16,6295.519,339.25,6309.1
160,2023-01-04,17,6498.24,300.0,6594.400000000001
161,2023-01-04,18,6627.157,300.0,6655.800000000001
162,2023-01-04,19,6701.563,300.0,6729.900000000001
163,2023-01-04,20,6705.687,300.0,6728.6
164,2023-01-04,21,6728.082,300.0,6763.599999999999
165,2023-01-04,22,6713.978,300.0,6775.499999999999
166,2023-01-04,23,6695.753,300.0,6784.799999999999
167,2023-01-04,24,6679.258,300.0,6763.900000000001
168,2023-01-04,25,6637.131,300.0,6755.900000000001
169,2023-01-04,26,6661.982,300.0,6768.9
170,2023-01-04,27,6729.32,300.0,6780.6
171,2023-01-04,28,6742.68,300.0,6803.900000000001
172,2023-01-04,29,6770.199,300.0,6816.8
173,2023-01-04,30,6776.247,300.0,6811.200000000001
174,2023-01-04,31,6791.033,300.0,6817.4
175,2023-01-04,32,6806.485,300.0,6814.699999999999
176,2023-01-04,33,6819.426,300.0,6907.5
177,2023-01-04,34,6805.436,300.0,6909.400000000001
178,2023-01-04,35,6711.828,300.0,6760.1
179,2023-01-04,36,6642.218,300.0,6760.299999999999
180,2023-01-04,37,6636.038,300.0,6772.4
181,2023-01-04,38,6708.093,300.0,6774.3
182,2023-01-04,39,6727.685,300.0,6764.3
183,2023-01-04,40,6709.903,300.0,6754.1
184,2023-01-04,41,6665.575,300.0,6737.8
185,2023-01-04,42,6603.579,265.87,6606.999999999999
186,2023-01-04,43,6537.334,300.0,6660.3
187,2023-01-04,44,6404.943,229.2,6427.8
188,2023-01-04,45,6235.765,179.2,6241.000000000001
189,2023-01-04,46,6088.931,145.82,6096.200000000001
190,2023-01-04,47,5941.61,115.11,5946.5
191,2023-01-04,48,5724.62,97.56,5741.500000000002
192,2023-01-05,1,5530.184,97.56,5561.1
193,2023-01-05,2,5437.985,106.7,5445.1
194,2023-01-05,3,5465.285,109.57,5466.900000000001
195,2023-01-05,4,5408.245,109.57,5425.1
196,2023-01-05,5,5338.312,106.7,5347.1
197,2023-01-05,6,5289.894,103.0,5294.1
198,2023-01-05,7,5271.485,104.0,5272.5
199,2023-01-05,8,5274.214,106.7,5287.1
200,2023-01-05,9,5279.015,106.7,5285.900000000001
201,2023-01-05,10,5300.147,109.57,5313.3
202,2023-01-05,11,5396.714,109.77,5397.799999999999
203,2023-01-05,12,5542.057,109.87,5562.5
204,2023-01-05,13,5730.435,179.2,5736.0999999999985
205,2023-01-05,14,5917.058,227.28,5917.9
206,2023-01-05,15,6115.023,191.0,6120.000000000001
207,2023-01-05,16,6320.593,229.2,6333.0
208,2023-01-05,17,6513.652,250.0,6548.5999999999985
209,2023-01-05,18,6623.151,279.2,6624.1
210,2023-01-05,19,6689.645,280.0,6732.600000000001
211,2023-01-05,20,6724.251,297.87,6743.899999999999
212,2023-01-05,21,6755.423,280.0,6764.5
213,2023-01-05,22,6751.168,280.0,6764.9
214,2023-01-05,23,6725.106,280.0,6766.099999999999
215,2023-01-05,24,6668.368,280.0,6755.3
216,2023-01-05,25,6639.06,279.2,6642.6
217,2023-01-05,26,6619.96,265.87,6644.0
218,2023-01-05,27,6694.356,280.0,6756.900000000001
219,2023-01-05,28,6716.214,280.0,6768.3
220,2023-01-05,29,6780.463,300.0,6790.099999999999
221,2023-01-05,30,6817.997,305.81,6821.700000000001
222,2023-01-05,31,6866.723,369.2,6869.9
223,2023-01-05,32,6864.64,385.81,6869.8
224,2023-01-05,33,6875.409,399.2,6886.3
225,2023-01-05,34,6875.304,399.2,6886.800000000001
226,2023-01-05,35,6826.996,409.2,6831.4000000000015
227,2023-01-05,36,6725.444,300.87,6740.099999999998
228,2023-01-05,37,6645.645,225.81,6647.9
229,2023-01-05,38,6634.786,225.81,6639.599999999999
230,2023-01-05,39,6672.354,240.0,6692.2
231,2023-01-05,40,6658.756,229.2,6672.599999999999
232,2023-01-05,41,6637.331,240.0,6664.4
233,2023-01-05,42,6590.483,225.81,6595.8
234,2023-01-05,43,6518.99,220.0,6535.1
235,2023-01-05,44,6389.472,205.87,6394.400000000001
236,2023-01-05,45,6224.537,200.0,6256.200000000001
237,2023-01-05,46,6089.463,200.0,6161.500000000001
238,2023-01-05,47,5942.758,155.36,5943.800000000001
239,2023-01-05,48,5830.232,123.26,5837.1
240,2023-01-06,1,5730.062,179.2,5731.5
241,2023-01-06,2,5614.047,140.2,5622.099999999999
242,2023-01-06,3,5498.231,117.8,5502.9
243,2023-01-06,4,5441.504,119.2,5445.1
244,2023-01-06,5,5395.402,117.8,5407.1
245,2023-01-06,6,5350.031,106.68,5354.1
246,2023-01-06,7,5319.008,115.1,5322.5
247,2023-01-06,8,5287.036,106.68,5297.1
248,2023-01-06,9,5276.177,106.68,5290.900000000001
249,2023-01-06,10,5320.007,115.1,5323.3
250,2023-01-06,11,5430.893,137.2,5435.100000000001
251,2023-01-06,12,5607.726,191.8,5609.5999999999985
